true\pred,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust
anger,2402,224,59,61,82,33,7,13,83,43,198
anticipation,156,5188,46,119,205,68,65,11,153,109,400
disgust,41,52,521,16,20,7,3,3,21,14,61
fear,59,85,14,1133,40,14,4,4,36,23,130
joy,62,186,15,46,2679,106,11,2,61,23,144
love,64,75,19,10,195,626,40,12,33,40,99
optimism,11,45,4,3,5,10,63,2,4,15,20
pessimism,14,20,3,3,4,9,3,29,25,4,17
sadness,77,151,24,53,65,16,3,8,1827,32,130
surprise,38,95,8,17,33,5,1,0,29,833,60
trust,166,342,44,109,147,31,13,5,81,74,4147
