true\pred,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust
anger,2569,171,45,62,48,8,3,3,63,35,198
anticipation,76,5922,27,45,68,26,6,2,64,43,242
disgust,32,38,575,19,17,2,0,0,16,9,51
fear,19,47,13,1368,13,3,2,0,20,10,47
joy,23,62,7,14,3101,39,4,0,22,6,58
love,36,40,5,10,56,906,28,8,26,30,67
optimism,12,18,0,2,8,21,82,3,9,5,18
pessimism,23,7,3,1,5,12,3,12,38,10,16
sadness,61,111,20,31,33,1,0,0,1986,26,115
surprise,19,43,2,9,10,1,0,2,14,990,39
trust,64,134,18,37,42,3,0,0,38,26,4797
