true\pred,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust
anger,2372,236,48,89,55,17,1,4,65,38,280
anticipation,104,5697,32,53,93,35,5,0,69,63,370
disgust,41,64,506,20,25,4,0,0,19,9,71
fear,59,88,22,1160,23,1,0,0,28,16,145
joy,40,110,12,19,2939,35,7,0,30,8,135
love,62,42,6,12,70,903,14,1,27,23,51
optimism,11,24,4,1,9,19,88,0,3,4,18
pessimism,28,6,4,4,3,19,2,11,30,10,13
sadness,88,152,24,43,45,1,0,0,1800,25,211
surprise,19,39,4,11,10,0,0,0,12,972,57
trust,116,251,23,57,49,1,0,0,63,39,4564
